order_id,order_date,customer_id,product_id,product_name,category,region,quantity,unit_price,discount,sales
ORD1001,2026-01-05,C1001,P2001,Wireless Mouse,Electronics,North,2,799,10,1438.20
ORD1002,2026-01-06,C1002,P2002,Cotton T-Shirt,Clothing,South,3,499,5,1422.15
ORD1003,2026-01-07,C1003,P2003,Study Table,Furniture,East,1,4999,15,4249.15
ORD1004,2026-01-08,C1004,P2004,Face Wash,Beauty,West,5,199,0,995.00
ORD1005,2026-01-09,C1005,P2005,Yoga Mat,Sports,North,2,899,10,1618.20
ORD1006,2026-01-10,C1006,P2006,Bluetooth Speaker,Electronics,South,1,2499,20,1999.20
ORD1007,2026-01-11,C1007,P2007,Denim Jeans,Clothing,East,2,1499,10,2698.20
ORD1008,2026-01-12,C1008,P2008,Office Chair,Furniture,West,1,7999,25,5999.25
ORD1009,2026-01-13,C1009,P2009,Sunscreen,Beauty,North,4,349,0,1396.00
ORD1010,2026-01-14,C1010,P2010,Dumbbell Set,Sports,South,1,1999,5,1899.05
ORD1011,2026-01-15,C1001,P2001,Wireless Mouse,Electronics,North,3,799,10,2157.30
ORD1012,2026-01-16,C1002,P2011,Smart Watch,Electronics,East,1,5999,15,5099.15
ORD1013,2026-01-17,C1011,P2002,Cotton T-Shirt,Clothing,South,6,499,10,2694.60
ORD1014,2026-01-18,C1012,P2012,Bookshelf,Furniture,North,2,3499,20,5598.40
ORD1015,2026-01-19,C1013,P2004,Face Wash,Beauty,West,10,199,5,1890.50
ORD1016,2026-01-20,C1014,P2013,Skipping Rope,Sports,East,3,299,0,897.00
ORD1017,2026-01-21,C1015,P2006,Bluetooth Speaker,Electronics,South,2,2499,25,3748.50
ORD1018,2026-01-22,C1016,P2007,Denim Jeans,Clothing,West,4,1499,15,5096.60
ORD1019,2026-01-23,C1017,P2003,Study Table,Furniture,North,1,4999,10,4499.10
ORD1020,2026-01-24,C1018,P2009,Sunscreen,Beauty,South,8,349,0,2792.00
ORD1021,2026-01-25,C1019,P2014,Tennis Racket,Sports,East,2,2999,10,5398.20
ORD1022,2026-01-26,C1020,P2011,Smart Watch,Electronics,West,3,5999,20,14397.60
ORD1023,2026-01-27,C1003,P2015,Kurta Set,Clothing,North,2,1299,5,2468.10
ORD1024,2026-01-28,C1004,P2008,Office Chair,Furniture,South,1,7999,15,6799.15
ORD1025,2026-01-29,C1005,P2016,Moisturizer,Beauty,East,5,549,10,2470.50
ORD1026,2026-01-30,C1006,P2017,Badminton Set,Sports,West,1,1799,0,1799.00
ORD1027,2026-02-01,C1007,P2001,Wireless Mouse,Electronics,North,5,799,20,3196.00
ORD1028,2026-02-02,C1008,P2002,Cotton T-Shirt,Clothing,South,4,499,0,1996.00
ORD1029,2026-02-03,C1009,P2003,Study Table,Furniture,East,2,4999,10,8998.20
ORD1030,2026-02-04,C1010,P2005,Yoga Mat,Sports,West,3,899,5,2562.15
